ws_property_id,city,state,zipcode,apt_house,num_bedrooms,kitchen,shared,current_monthly_rent,percentile_10th_price,percentile_90th_price,sample_nightly_rent_price,occupancy_rates
W1,Chapel Hill,NC,27514,apartment,2,Y,N,1060,114,153,148,0.1616
W10,Chapel Hill,NC,27517,apartment,2,Y,N,1200,111,149,133,0.3479
W100,San Francisco,CA,94129,apartment,1,Y,N,3300,108,610,372,0.3973
W101,Austin,TX,78702,apartment,1,Y,N,1400,178,533,302,0.3644
W102,Austin,TX,78702,apartment,2,Y,N,2000,221,617,429,0.4110
W103,Austin,TX,78702,house,1,Y,N,1600,202,646,380,0.4110
W104,Austin,TX,78702,house,2,Y,N,2800,197,639,374,0.5260
W105,Austin,TX,78705,apartment,1,Y,N,1100,114,477,386,0.4329
W106,Austin,TX,78705,apartment,2,Y,N,1900,80,583,212,0.6959
W107,Austin,TX,78705,house,1,Y,N,1800,239,1431,969,0.1096
W108,Austin,TX,78705,house,2,Y,N,3200,236,1533,885,0.2247
W109,Austin,TX,78723,apartment,1,Y,N,1000,138,550,287,0.2192
W11,Chapel Hill,NC,27517,house,1,Y,N,1000,116,296,206,0.3918
W110,Austin,TX,78723,apartment,2,Y,N,1300,175,917,462,0.5370
W111,Austin,TX,78723,house,1,Y,N,1200,130,821,389,0.5123
W112,Austin,TX,78723,house,2,Y,N,1600,241,866,678,0.3616
W113,Austin,TX,78744,apartment,1,Y,N,800,134,288,163,0.8438
W114,Austin,TX,78744,apartment,2,Y,N,1200,234,794,374,0.9151
W115,Austin,TX,78744,house,1,Y,N,900,252,547,444,0.4301
W116,Austin,TX,78744,house,2,Y,N,1100,246,616,426,0.4822
W117,Austin,TX,78746,apartment,1,Y,N,1000,171,457,332,0.4904
W118,Austin,TX,78746,apartment,2,Y,N,1400,262,567,430,0.5233
W119,Austin,TX,78746,house,1,Y,N,1500,229,859,662,0.4493
W12,Chapel Hill,NC,27517,house,2,Y,N,1300,136,336,186,0.6603
W120,Austin,TX,78746,house,2,Y,N,1600,449,899,696,0.4877
W121,Bentonville,AR,72712,apartment,1,Y,N,600,132,226,182,0.4384
